"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"L1";"L_0603_1608Metric";1;"10uH";;;
2;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-AU";;;
3;"J1";"Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";1;"TC2030-MCP-NL";;;
4;"P1";"ILWX10SBVFBE";1;"Conn_02x15_Odd_Even";;;
5;"D3";"LED_Avago_PLCC4_3.2x2.8mm_CW";1;"ASMB-MTB0-0A3A2";;;
6;"R1,R6";"R_0402_1005Metric";2;"10K Ohm";;;
7;"R5";"R_0402_1005Metric";1;"190 Ohm";;;
8;"U2";"QFN-28-1EP_6x6mm_P0.65mm_EP4.8x4.8mm";1;"MCP25625-x-SS";;;
9;"Y1";"CSTNE16M0V530000R0";1;"16.0Mhz";;;
10;"C1,C3,C7,C8,C9,C6,C2,C4,C5";"C_0402_1005Metric";9;"0.1uF";;;
11;"D1";"D_SOD-523";1;"15V";;;
12;"R2";"R_0402_1005Metric";1;"100K Ohm";;;
13;"Q1";"SOT-23";1;"Q_PMOS_DGS";;;
14;"F1";"Fuse_0603_1608Metric";1;"250mA";;;
15;"D2";"D_SOD-523";1;"2.4V";;;
16;"R7";"R_0603_1608Metric";1;"120 Ohm";;;
17;"H1";"MountingHole_2.2mm_M2";1;"M2 Mouting hole";;;
18;"L2";"L_0603_1608Metric";1;"2.2 µH";;;
19;"U3";"SON65P300X300X100-9N";1;"NCV890430MW50TXG";;;
20;"C10,C11";"C_0603_1608Metric";2;"10uF";;;
21;"R3";"R_0402_1005Metric";1;"290 ohm";;;
22;"R4";"R_0402_1005Metric";1;"200ohm";;;
